2025-12-15 02:14:59,918 | INFO | File Uploaded to Staging: Uploaded item ID IR-SC-00003388 to staging bucket at staging/from_20250506_to_20250730/IR-SC-00003388.html.
2025-12-15 02:14:59,920 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID IR-SC-00003388 into staging collection.
2025-12-15 02:14:59,926 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00054428.
2025-12-15 02:14:59,930 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00054428 to staging bucket at staging/from_20250506_to_20250730/ADJ-00054428.html.
2025-12-15 02:14:59,931 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00054428 into staging collection.
2025-12-15 02:14:59,938 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00053903.
2025-12-15 02:14:59,944 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00053903 to staging bucket at staging/from_20250506_to_20250730/ADJ-00053903.html.
2025-12-15 02:14:59,945 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00053903 into staging collection.
2025-12-15 02:14:59,953 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00054029.
2025-12-15 02:14:59,957 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00054029 to staging bucket at staging/from_20250506_to_20250730/ADJ-00054029.html.
2025-12-15 02:14:59,958 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00054029 into staging collection.
2025-12-15 02:14:59,967 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00056290.
2025-12-15 02:14:59,973 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00056290 to staging bucket at staging/from_20250506_to_20250730/ADJ-00056290.html.
2025-12-15 02:14:59,974 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00056290 into staging collection.
2025-12-15 02:14:59,980 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00055353.
2025-12-15 02:14:59,984 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00055353 to staging bucket at staging/from_20250506_to_20250730/ADJ-00055353.html.
2025-12-15 02:14:59,985 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00055353 into staging collection.
2025-12-15 02:14:59,995 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00042654.
